,06_02_2021,neu
Augustdorf,919,7
Bad Salzuflen,3107,8
Barntrup,383,0
Blomberg,741,0
Detmold,3615,6
Dörentrup,178,0
Extertal,318,0
Horn-Bad Meinberg,827,0
Kalletal,523,1
Lage,2227,1
Lemgo,1811,2
Leopoldshöhe,798,0
Lügde,219,0
Oerlinghausen,655,1
Schieder-Schwalenberg,381,2
Schlangen,279,0
