,01_07_2022,neu
Augustdorf,1930,7
Bad Salzuflen,5243,17
Barntrup,760,10
Blomberg,1360,6
Detmold,7100,34
Dörentrup,548,1
Extertal,505,4
Horn-Bad Meinberg,1404,11
Kalletal,1156,10
Lage,3954,36
Lemgo,3655,17
Leopoldshöhe,1747,7
Lügde,411,3
Oerlinghausen,1308,11
Schieder-Schwalenberg,681,3
Schlangen,762,3
