,02_08_2022,neu
Augustdorf,2500,45
Bad Salzuflen,6917,105
Barntrup,952,22
Blomberg,1980,30
Detmold,10147,185
Dörentrup,698,5
Extertal,790,76
Horn-Bad Meinberg,1923,31
Kalletal,1404,10
Lage,5162,57
Lemgo,4634,89
Leopoldshöhe,2348,51
Lügde,666,19
Oerlinghausen,1792,31
Schieder-Schwalenberg,941,16
Schlangen,990,36
