,11_25_2021,neu
Augustdorf,1528,9
Bad Salzuflen,4159,20
Barntrup,532,4
Blomberg,1034,7
Detmold,5472,33
Dörentrup,373,7
Extertal,404,7
Horn-Bad Meinberg,1113,10
Kalletal,864,5
Lage,3110,8
Lemgo,2717,29
Leopoldshöhe,1214,12
Lügde,341,1
Oerlinghausen,1003,11
Schieder-Schwalenberg,529,3
Schlangen,464,7
