,09_01_2021,neu
Augustdorf,1004,5
Bad Salzuflen,3424,6
Barntrup,402,0
Blomberg,784,4
Detmold,3967,13
Dörentrup,190,0
Extertal,323,0
Horn-Bad Meinberg,867,0
Kalletal,610,1
Lage,2344,5
Lemgo,1920,2
Leopoldshöhe,870,5
Lügde,259,1
Oerlinghausen,765,5
Schieder-Schwalenberg,423,1
Schlangen,334,6
