,09_23_2021,neu
Augustdorf,1221,19
Bad Salzuflen,3598,1
Barntrup,421,1
Blomberg,846,1
Detmold,4351,20
Dörentrup,212,0
Extertal,333,0
Horn-Bad Meinberg,919,3
Kalletal,662,1
Lage,2575,17
Lemgo,2137,15
Leopoldshöhe,936,0
Lügde,307,5
Oerlinghausen,824,1
Schieder-Schwalenberg,446,2
Schlangen,360,2
