,06_26_2021,neu
Augustdorf,931,0
Bad Salzuflen,3129,1
Barntrup,383,0
Blomberg,748,0
Detmold,3637,1
Dörentrup,178,0
Extertal,318,0
Horn-Bad Meinberg,836,0
Kalletal,531,1
Lage,2246,0
Lemgo,1841,1
Leopoldshöhe,801,0
Lügde,224,0
Oerlinghausen,664,0
Schieder-Schwalenberg,385,2
Schlangen,283,0
