,10_19_2021,neu
Augustdorf,1335,0
Bad Salzuflen,3706,5
Barntrup,453,0
Blomberg,873,2
Detmold,4761,6
Dörentrup,253,0
Extertal,356,0
Horn-Bad Meinberg,975,1
Kalletal,727,5
Lage,2741,3
Lemgo,2324,5
Leopoldshöhe,1007,7
Lügde,321,1
Oerlinghausen,872,0
Schieder-Schwalenberg,475,0
Schlangen,372,2
