,12_28_2021,neu
Augustdorf,1879,11
Bad Salzuflen,5047,25
Barntrup,702,4
Blomberg,1329,6
Detmold,6794,44
Dörentrup,529,3
Extertal,474,0
Horn-Bad Meinberg,1333,10
Kalletal,1051,21
Lage,3719,28
Lemgo,3518,21
Leopoldshöhe,1655,14
Lügde,404,4
Oerlinghausen,1249,10
Schieder-Schwalenberg,654,2
Schlangen,708,5
