,01_26_2022,neu
Augustdorf,2235,10
Bad Salzuflen,5847,55
Barntrup,816,5
Blomberg,1618,18
Detmold,8219,102
Dörentrup,606,5
Extertal,580,7
Horn-Bad Meinberg,1627,18
Kalletal,1261,5
Lage,4462,44
Lemgo,3961,26
Leopoldshöhe,1933,13
Lügde,482,6
Oerlinghausen,1472,7
Schieder-Schwalenberg,761,6
Schlangen,822,2
