,02_06_2022,neu
Augustdorf,2455,8
Bad Salzuflen,6812,66
Barntrup,930,9
Blomberg,1950,17
Detmold,9962,121
Dörentrup,693,10
Extertal,714,4
Horn-Bad Meinberg,1892,18
Kalletal,1394,9
Lage,5105,45
Lemgo,4545,43
Leopoldshöhe,2297,27
Lügde,647,8
Oerlinghausen,1761,9
Schieder-Schwalenberg,925,14
Schlangen,954,8
