,09_17_2021,neu
Augustdorf,1162,25
Bad Salzuflen,3572,17
Barntrup,410,1
Blomberg,829,1
Detmold,4255,28
Dörentrup,208,3
Extertal,330,1
Horn-Bad Meinberg,907,5
Kalletal,653,0
Lage,2505,26
Lemgo,2058,16
Leopoldshöhe,922,0
Lügde,294,3
Oerlinghausen,808,3
Schieder-Schwalenberg,435,3
Schlangen,353,2
