,08_07_2021,neu
Augustdorf,972,0
Bad Salzuflen,3223,2
Barntrup,387,0
Blomberg,756,2
Detmold,3715,5
Dörentrup,181,0
Extertal,319,0
Horn-Bad Meinberg,847,2
Kalletal,542,0
Lage,2258,1
Lemgo,1868,1
Leopoldshöhe,813,2
Lügde,228,1
Oerlinghausen,667,0
Schieder-Schwalenberg,400,1
Schlangen,297,0
