,10_15_2021,neu
Augustdorf,1333,3
Bad Salzuflen,3686,9
Barntrup,452,0
Blomberg,871,3
Detmold,4731,12
Dörentrup,249,2
Extertal,355,0
Horn-Bad Meinberg,969,2
Kalletal,715,3
Lage,2732,2
Lemgo,2305,10
Leopoldshöhe,996,2
Lügde,319,0
Oerlinghausen,868,0
Schieder-Schwalenberg,475,1
Schlangen,371,2
