,01_05_2022,neu
Augustdorf,1919,14
Bad Salzuflen,5178,29
Barntrup,743,23
Blomberg,1352,3
Detmold,7009,51
Dörentrup,545,1
Extertal,493,8
Horn-Bad Meinberg,1378,10
Kalletal,1130,24
Lage,3876,52
Lemgo,3600,18
Leopoldshöhe,1723,9
Lügde,408,1
Oerlinghausen,1295,14
Schieder-Schwalenberg,670,3
Schlangen,751,2
