,09_26_2021,neu
Augustdorf,1240,3
Bad Salzuflen,3609,6
Barntrup,422,1
Blomberg,854,1
Detmold,4403,16
Dörentrup,217,1
Extertal,335,0
Horn-Bad Meinberg,925,4
Kalletal,664,0
Lage,2614,15
Lemgo,2170,14
Leopoldshöhe,943,2
Lügde,311,1
Oerlinghausen,827,1
Schieder-Schwalenberg,450,2
Schlangen,362,1
