,01_04_2022,neu
Augustdorf,1905,7
Bad Salzuflen,5149,32
Barntrup,720,7
Blomberg,1349,11
Detmold,6958,53
Dörentrup,544,11
Extertal,485,4
Horn-Bad Meinberg,1368,17
Kalletal,1106,14
Lage,3824,41
Lemgo,3582,23
Leopoldshöhe,1714,19
Lügde,407,0
Oerlinghausen,1281,9
Schieder-Schwalenberg,667,5
Schlangen,749,15
