,02_09_2022,neu
Augustdorf,2521,21
Bad Salzuflen,7029,112
Barntrup,957,5
Blomberg,2001,21
Detmold,10287,140
Dörentrup,704,6
Extertal,810,20
Horn-Bad Meinberg,1952,29
Kalletal,1425,21
Lage,5227,65
Lemgo,4685,51
Leopoldshöhe,2412,64
Lügde,690,24
Oerlinghausen,1821,29
Schieder-Schwalenberg,959,18
Schlangen,1019,29
