,11_11_2021,neu
Augustdorf,1442,11
Bad Salzuflen,3972,23
Barntrup,489,1
Blomberg,952,4
Detmold,5083,27
Dörentrup,298,6
Extertal,378,1
Horn-Bad Meinberg,1025,5
Kalletal,799,10
Lage,2926,18
Lemgo,2540,15
Leopoldshöhe,1118,7
Lügde,334,0
Oerlinghausen,931,5
Schieder-Schwalenberg,493,1
Schlangen,417,4
