,09_11_2021,neu
Augustdorf,1082,22
Bad Salzuflen,3522,19
Barntrup,408,5
Blomberg,817,9
Detmold,4142,14
Dörentrup,196,1
Extertal,328,2
Horn-Bad Meinberg,881,6
Kalletal,643,5
Lage,2427,13
Lemgo,2005,12
Leopoldshöhe,906,7
Lügde,288,5
Oerlinghausen,798,8
Schieder-Schwalenberg,428,1
Schlangen,347,8
