,02_10_2022,neu
Augustdorf,2547,26
Bad Salzuflen,7176,147
Barntrup,972,15
Blomberg,2048,47
Detmold,10486,199
Dörentrup,712,8
Extertal,846,36
Horn-Bad Meinberg,1997,45
Kalletal,1443,18
Lage,5320,93
Lemgo,4786,101
Leopoldshöhe,2454,42
Lügde,706,16
Oerlinghausen,1843,22
Schieder-Schwalenberg,978,19
Schlangen,1039,20
