,12_06_2021,neu
Augustdorf,1625,0
Bad Salzuflen,4399,0
Barntrup,577,0
Blomberg,1140,0
Detmold,5835,0
Dörentrup,422,0
Extertal,438,0
Horn-Bad Meinberg,1171,0
Kalletal,906,0
Lage,3260,0
Lemgo,2936,0
Leopoldshöhe,1362,0
Lügde,359,0
Oerlinghausen,1071,0
Schieder-Schwalenberg,568,0
Schlangen,532,0
