,06_13_2021,neu
Augustdorf,931,0
Bad Salzuflen,3126,1
Barntrup,383,0
Blomberg,746,0
Detmold,3628,1
Dörentrup,178,0
Extertal,318,0
Horn-Bad Meinberg,835,0
Kalletal,530,0
Lage,2236,0
Lemgo,1832,0
Leopoldshöhe,800,0
Lügde,221,0
Oerlinghausen,663,0
Schieder-Schwalenberg,381,0
Schlangen,282,0
