,11_14_2021,neu
Augustdorf,1457,5
Bad Salzuflen,4001,6
Barntrup,499,1
Blomberg,969,5
Detmold,5151,26
Dörentrup,314,4
Extertal,381,0
Horn-Bad Meinberg,1044,1
Kalletal,812,2
Lage,2966,13
Lemgo,2568,7
Leopoldshöhe,1127,0
Lügde,335,0
Oerlinghausen,938,2
Schieder-Schwalenberg,500,1
Schlangen,425,0
