,01_14_2022,neu
Augustdorf,2067,24
Bad Salzuflen,5434,45
Barntrup,782,3
Blomberg,1441,12
Detmold,7411,49
Dörentrup,559,3
Extertal,532,7
Horn-Bad Meinberg,1482,20
Kalletal,1199,10
Lage,4128,40
Lemgo,3775,19
Leopoldshöhe,1816,12
Lügde,423,2
Oerlinghausen,1371,14
Schieder-Schwalenberg,710,6
Schlangen,793,4
