,02_04_2022,neu
Augustdorf,2414,29
Bad Salzuflen,6632,104
Barntrup,912,13
Blomberg,1915,51
Detmold,9682,202
Dörentrup,677,12
Extertal,682,15
Horn-Bad Meinberg,1861,35
Kalletal,1369,13
Lage,5010,94
Lemgo,4458,89
Leopoldshöhe,2243,59
Lügde,622,20
Oerlinghausen,1712,29
Schieder-Schwalenberg,897,12
Schlangen,928,10
