,10_27_2021,neu
Augustdorf,1363,5
Bad Salzuflen,3798,28
Barntrup,466,4
Blomberg,887,5
Detmold,4868,17
Dörentrup,264,2
Extertal,360,0
Horn-Bad Meinberg,990,2
Kalletal,754,4
Lage,2776,6
Lemgo,2407,12
Leopoldshöhe,1040,6
Lügde,326,3
Oerlinghausen,892,2
Schieder-Schwalenberg,483,1
Schlangen,381,2
