,08_25_2021,neu
Augustdorf,988,0
Bad Salzuflen,3369,14
Barntrup,395,3
Blomberg,773,3
Detmold,3878,17
Dörentrup,190,0
Extertal,323,0
Horn-Bad Meinberg,861,1
Kalletal,586,3
Lage,2308,4
Lemgo,1904,2
Leopoldshöhe,852,7
Lügde,252,5
Oerlinghausen,730,12
Schieder-Schwalenberg,418,2
Schlangen,317,5
