,02_02_2022,neu
Augustdorf,2353,17
Bad Salzuflen,6398,133
Barntrup,889,15
Blomberg,1832,59
Detmold,9270,206
Dörentrup,658,8
Extertal,657,11
Horn-Bad Meinberg,1788,28
Kalletal,1331,13
Lage,4826,81
Lemgo,4295,96
Leopoldshöhe,2144,55
Lügde,579,22
Oerlinghausen,1635,34
Schieder-Schwalenberg,853,24
Schlangen,898,22
