,06_12_2021,neu
Augustdorf,931,0
Bad Salzuflen,3125,1
Barntrup,383,0
Blomberg,746,1
Detmold,3627,0
Dörentrup,178,0
Extertal,318,0
Horn-Bad Meinberg,835,0
Kalletal,530,0
Lage,2236,0
Lemgo,1832,3
Leopoldshöhe,800,0
Lügde,221,0
Oerlinghausen,663,1
Schieder-Schwalenberg,381,0
Schlangen,282,0
