,09_03_2021,neu
Augustdorf,1011,5
Bad Salzuflen,3450,13
Barntrup,403,0
Blomberg,786,1
Detmold,4009,18
Dörentrup,192,2
Extertal,323,0
Horn-Bad Meinberg,870,3
Kalletal,612,2
Lage,2355,4
Lemgo,1927,1
Leopoldshöhe,876,4
Lügde,270,10
Oerlinghausen,773,4
Schieder-Schwalenberg,423,0
Schlangen,337,3
