,08_28_2021,neu
Augustdorf,991,2
Bad Salzuflen,3404,17
Barntrup,401,3
Blomberg,779,1
Detmold,3932,5
Dörentrup,190,0
Extertal,323,0
Horn-Bad Meinberg,864,0
Kalletal,605,7
Lage,2323,2
Lemgo,1915,8
Leopoldshöhe,858,4
Lügde,253,0
Oerlinghausen,755,9
Schieder-Schwalenberg,419,0
Schlangen,326,4
