,12_18_2021,neu
Augustdorf,1790,18
Bad Salzuflen,4874,36
Barntrup,676,20
Blomberg,1295,5
Detmold,6510,53
Dörentrup,517,8
Extertal,468,0
Horn-Bad Meinberg,1267,9
Kalletal,982,5
Lage,3581,40
Lemgo,3360,33
Leopoldshöhe,1574,12
Lügde,388,5
Oerlinghausen,1184,14
Schieder-Schwalenberg,622,13
Schlangen,678,7
