,08_22_2021,neu
Augustdorf,987,2
Bad Salzuflen,3347,6
Barntrup,390,1
Blomberg,769,1
Detmold,3845,15
Dörentrup,189,1
Extertal,323,2
Horn-Bad Meinberg,860,0
Kalletal,576,2
Lage,2298,8
Lemgo,1899,4
Leopoldshöhe,841,0
Lügde,247,0
Oerlinghausen,707,3
Schieder-Schwalenberg,416,0
Schlangen,310,2
