,01_19_2022,neu
Augustdorf,2159,18
Bad Salzuflen,5591,46
Barntrup,787,2
Blomberg,1513,31
Detmold,7700,102
Dörentrup,575,6
Extertal,548,2
Horn-Bad Meinberg,1524,9
Kalletal,1223,6
Lage,4245,43
Lemgo,3846,31
Leopoldshöhe,1861,10
Lügde,435,6
Oerlinghausen,1406,10
Schieder-Schwalenberg,731,5
Schlangen,805,6
