,01_08_2022,neu
Augustdorf,1953,23
Bad Salzuflen,5250,7
Barntrup,765,5
Blomberg,1370,10
Detmold,7144,44
Dörentrup,548,0
Extertal,509,4
Horn-Bad Meinberg,1410,6
Kalletal,1163,7
Lage,3966,12
Lemgo,3669,14
Leopoldshöhe,1753,6
Lügde,412,1
Oerlinghausen,1315,7
Schieder-Schwalenberg,683,2
Schlangen,767,5
