,12_07_2021,neu
Augustdorf,1635,10
Bad Salzuflen,4436,37
Barntrup,584,7
Blomberg,1154,14
Detmold,5896,61
Dörentrup,426,4
Extertal,440,2
Horn-Bad Meinberg,1181,10
Kalletal,910,4
Lage,3285,25
Lemgo,2968,32
Leopoldshöhe,1386,24
Lügde,359,0
Oerlinghausen,1078,7
Schieder-Schwalenberg,572,4
Schlangen,540,8
