,10_11_2021,neu
Augustdorf,1323,0
Bad Salzuflen,3671,0
Barntrup,445,0
Blomberg,866,0
Detmold,4646,0
Dörentrup,244,0
Extertal,352,0
Horn-Bad Meinberg,960,0
Kalletal,701,0
Lage,2719,0
Lemgo,2273,0
Leopoldshöhe,984,0
Lügde,314,0
Oerlinghausen,860,0
Schieder-Schwalenberg,470,0
Schlangen,368,0
