,08_20_2021,neu
Augustdorf,980,0
Bad Salzuflen,3333,19
Barntrup,389,2
Blomberg,765,0
Detmold,3811,16
Dörentrup,188,0
Extertal,319,0
Horn-Bad Meinberg,860,0
Kalletal,571,0
Lage,2289,5
Lemgo,1888,3
Leopoldshöhe,838,1
Lügde,245,6
Oerlinghausen,690,2
Schieder-Schwalenberg,415,0
Schlangen,307,1
