,08_17_2021,neu
Augustdorf,976,1
Bad Salzuflen,3291,10
Barntrup,387,0
Blomberg,761,0
Detmold,3768,5
Dörentrup,187,0
Extertal,319,0
Horn-Bad Meinberg,856,0
Kalletal,569,5
Lage,2276,2
Lemgo,1879,0
Leopoldshöhe,824,6
Lügde,235,0
Oerlinghausen,681,5
Schieder-Schwalenberg,410,1
Schlangen,306,5
