,12_13_2021,neu
Augustdorf,1704,0
Bad Salzuflen,4656,0
Barntrup,627,0
Blomberg,1230,0
Detmold,6200,0
Dörentrup,467,0
Extertal,455,0
Horn-Bad Meinberg,1219,0
Kalletal,943,0
Lage,3415,0
Lemgo,3164,0
Leopoldshöhe,1473,0
Lügde,368,0
Oerlinghausen,1120,0
Schieder-Schwalenberg,593,0
Schlangen,609,0
