,08_21_2021,neu
Augustdorf,985,5
Bad Salzuflen,3341,8
Barntrup,389,0
Blomberg,768,3
Detmold,3830,19
Dörentrup,188,0
Extertal,321,2
Horn-Bad Meinberg,860,0
Kalletal,574,3
Lage,2290,1
Lemgo,1895,7
Leopoldshöhe,841,3
Lügde,247,2
Oerlinghausen,704,14
Schieder-Schwalenberg,416,1
Schlangen,308,1
