,12_03_2021,neu
Augustdorf,1604,17
Bad Salzuflen,4332,48
Barntrup,563,10
Blomberg,1104,11
Detmold,5737,48
Dörentrup,406,4
Extertal,430,5
Horn-Bad Meinberg,1160,10
Kalletal,894,9
Lage,3218,28
Lemgo,2880,29
Leopoldshöhe,1329,18
Lügde,353,3
Oerlinghausen,1064,14
Schieder-Schwalenberg,555,7
Schlangen,514,13
