,06_09_2021,neu
Augustdorf,930,3
Bad Salzuflen,3123,3
Barntrup,383,0
Blomberg,745,0
Detmold,3626,3
Dörentrup,178,0
Extertal,318,0
Horn-Bad Meinberg,835,0
Kalletal,529,0
Lage,2234,1
Lemgo,1824,5
Leopoldshöhe,800,0
Lügde,221,0
Oerlinghausen,661,1
Schieder-Schwalenberg,381,0
Schlangen,282,0
