,10_29_2021,neu
Augustdorf,1377,5
Bad Salzuflen,3829,13
Barntrup,474,0
Blomberg,900,5
Detmold,4899,14
Dörentrup,268,3
Extertal,364,1
Horn-Bad Meinberg,993,2
Kalletal,767,1
Lage,2791,9
Lemgo,2425,8
Leopoldshöhe,1055,7
Lügde,327,0
Oerlinghausen,901,1
Schieder-Schwalenberg,487,2
Schlangen,386,3
