,01_30_2022,neu
Augustdorf,2297,0
Bad Salzuflen,6110,0
Barntrup,855,0
Blomberg,1724,0
Detmold,8754,0
Dörentrup,629,0
Extertal,610,0
Horn-Bad Meinberg,1709,0
Kalletal,1305,0
Lage,4641,0
Lemgo,4114,0
Leopoldshöhe,2013,0
Lügde,528,0
Oerlinghausen,1554,0
Schieder-Schwalenberg,812,0
Schlangen,864,0
