,09_28_2021,neu
Augustdorf,1242,2
Bad Salzuflen,3612,3
Barntrup,425,3
Blomberg,854,0
Detmold,4416,13
Dörentrup,217,0
Extertal,335,0
Horn-Bad Meinberg,928,3
Kalletal,665,1
Lage,2625,11
Lemgo,2175,5
Leopoldshöhe,945,2
Lügde,312,1
Oerlinghausen,828,1
Schieder-Schwalenberg,450,0
Schlangen,363,1
