,10_03_2021,neu
Augustdorf,1303,6
Bad Salzuflen,3637,4
Barntrup,440,0
Blomberg,859,0
Detmold,4516,19
Dörentrup,232,1
Extertal,338,0
Horn-Bad Meinberg,942,1
Kalletal,686,0
Lage,2676,10
Lemgo,2220,11
Leopoldshöhe,958,4
Lügde,313,0
Oerlinghausen,847,4
Schieder-Schwalenberg,459,1
Schlangen,368,0
