,12_20_2021,neu
Augustdorf,1802,0
Bad Salzuflen,4914,0
Barntrup,681,0
Blomberg,1302,0
Detmold,6560,0
Dörentrup,519,0
Extertal,468,0
Horn-Bad Meinberg,1283,0
Kalletal,990,0
Lage,3598,0
Lemgo,3408,0
Leopoldshöhe,1588,0
Lügde,392,0
Oerlinghausen,1197,0
Schieder-Schwalenberg,626,0
Schlangen,683,0
