,01_15_2022,neu
Augustdorf,2092,25
Bad Salzuflen,5473,39
Barntrup,783,1
Blomberg,1456,15
Detmold,7470,59
Dörentrup,563,4
Extertal,536,4
Horn-Bad Meinberg,1497,15
Kalletal,1206,7
Lage,4154,26
Lemgo,3795,20
Leopoldshöhe,1830,14
Lügde,423,0
Oerlinghausen,1380,9
Schieder-Schwalenberg,713,3
Schlangen,796,3
