,10_07_2021,neu
Augustdorf,1316,2
Bad Salzuflen,3665,7
Barntrup,444,0
Blomberg,863,1
Detmold,4577,31
Dörentrup,240,3
Extertal,349,4
Horn-Bad Meinberg,950,4
Kalletal,695,3
Lage,2705,10
Lemgo,2258,15
Leopoldshöhe,974,9
Lügde,314,1
Oerlinghausen,856,2
Schieder-Schwalenberg,463,1
Schlangen,368,0
