,11_17_2021,neu
Augustdorf,1475,7
Bad Salzuflen,4037,14
Barntrup,506,4
Blomberg,984,5
Detmold,5222,33
Dörentrup,324,5
Extertal,385,1
Horn-Bad Meinberg,1056,7
Kalletal,829,13
Lage,3003,24
Lemgo,2598,16
Leopoldshöhe,1139,8
Lügde,337,1
Oerlinghausen,950,4
Schieder-Schwalenberg,506,2
Schlangen,430,3
