,11_07_2021,neu
Augustdorf,1424,10
Bad Salzuflen,3922,12
Barntrup,485,2
Blomberg,939,14
Detmold,5008,26
Dörentrup,283,4
Extertal,371,1
Horn-Bad Meinberg,1014,2
Kalletal,779,2
Lage,2874,9
Lemgo,2498,8
Leopoldshöhe,1097,4
Lügde,332,2
Oerlinghausen,916,3
Schieder-Schwalenberg,489,0
Schlangen,405,2
