AGS,sum_14,Gemeinde
12073008,106,Angermünde
12073452,103,Prenzlau
12073532,203,Schwedt/Oder
12073572,71,Templin
12073384,10,Lychen
12073069,24,Boitzenburger Land
12073429,15,Nordwestuckermark
12073579,18,Uckerland
12073085,38,Brüssow
12073189,47,Gartz (Oder)
12073201,21,Gerswalde
12073225,64,Gramzow
12073093,38,Carmzow-Wallmow
12073216,38,Göritz
12073490,38,Schenkenberg
12073520,38,Schönfeld
12073157,21,Flieth-Stegelitz
12073396,21,Milmersdorf
12073404,21,Mittenwalde
12073569,21,Temmen-Ringenwalde
12073032,93,Berkholz-Meyenburg
12073386,93,Mark Landin
12073603,93,Passow
12073440,93,Pinnow
12073097,47,Casekow
12073309,47,Hohenselchow-Groß Pinnow
12073393,47,Mescherin
12073565,47,Tantow
12073261,64,Grünow
12073430,64,Oberuckersee
12073458,64,Randowtal
12073578,64,Uckerfelde
12073645,64,Zichow
