,neu,Datum
Aachen,0,01_04_2022
Aachen,337,01_04_2022
Aachen,175,01_05_2022
Aachen,274,01_06_2022
Aachen,308,01_08_2022
Aachen,170,01_08_2022
Aachen,0,01_10_2022
Aachen,170,01_10_2022
Aachen,678,01_11_2022
Aachen,181,01_12_2022
Aachen,359,01_24_2022
Aachen,381,01_24_2022
Aachen,0,01_24_2022
Aachen,0,01_24_2022
Aachen,0,01_24_2022
Aachen,1108,01_24_2022
Aachen,426,01_24_2022
Aachen,289,01_24_2022
Aachen,236,01_24_2022
Aachen,0,01_24_2022
Aachen,0,01_24_2022
Aachen,0,01_24_2022
Aachen,1553,01_25_2022
Aachen,1051,01_26_2022
Alsdorf,0,01_05_2022
Alsdorf,40,01_05_2022
Alsdorf,26,01_05_2022
Alsdorf,43,01_06_2022
Alsdorf,44,01_08_2022
Alsdorf,28,01_08_2022
Alsdorf,0,01_10_2022
Alsdorf,28,01_10_2022
Alsdorf,108,01_11_2022
Alsdorf,27,01_12_2022
Alsdorf,54,01_13_2022
Alsdorf,65,01_14_2022
Alsdorf,0,01_17_2022
Alsdorf,0,01_17_2022
Alsdorf,0,01_17_2022
Alsdorf,175,01_18_2022
Alsdorf,66,01_19_2022
Alsdorf,31,01_20_2022
Alsdorf,37,01_21_2022
Alsdorf,0,01_24_2022
Alsdorf,0,01_24_2022
Alsdorf,0,01_24_2022
Alsdorf,257,01_25_2022
Alsdorf,211,01_26_2022
Baesweiler,0,01_04_2022
Baesweiler,17,01_04_2022
Baesweiler,9,01_05_2022
Baesweiler,35,01_06_2022
Baesweiler,29,01_08_2022
Baesweiler,15,01_08_2022
Baesweiler,0,01_10_2022
Baesweiler,15,01_10_2022
Baesweiler,55,01_11_2022
Baesweiler,13,01_12_2022
Baesweiler,21,01_13_2022
Baesweiler,37,01_14_2022
Baesweiler,0,01_17_2022
Baesweiler,0,01_17_2022
Baesweiler,0,01_17_2022
Baesweiler,113,01_18_2022
Baesweiler,46,01_19_2022
Baesweiler,13,01_20_2022
Baesweiler,15,01_21_2022
Baesweiler,0,01_24_2022
Baesweiler,0,01_24_2022
Baesweiler,0,01_24_2022
Baesweiler,143,01_25_2022
Baesweiler,99,01_26_2022
Eschweiler,0,01_05_2022
Eschweiler,58,01_05_2022
Eschweiler,11,01_05_2022
Eschweiler,37,01_06_2022
Eschweiler,56,01_08_2022
Eschweiler,25,01_08_2022
Eschweiler,0,01_24_2022
Eschweiler,25,01_24_2022
Eschweiler,109,01_24_2022
Eschweiler,26,01_24_2022
Eschweiler,44,01_24_2022
Eschweiler,69,01_24_2022
Eschweiler,0,01_24_2022
Eschweiler,0,01_24_2022
Eschweiler,0,01_24_2022
Eschweiler,179,01_24_2022
Eschweiler,63,01_24_2022
Eschweiler,48,01_24_2022
Eschweiler,36,01_24_2022
Eschweiler,0,01_24_2022
Eschweiler,0,01_24_2022
Eschweiler,0,01_24_2022
Eschweiler,232,01_25_2022
Eschweiler,218,01_26_2022
Herzogenrath,0,01_04_2022
Herzogenrath,36,01_04_2022
Herzogenrath,20,01_05_2022
Herzogenrath,17,01_06_2022
Herzogenrath,32,01_24_2022
Herzogenrath,22,01_24_2022
Herzogenrath,0,01_24_2022
Herzogenrath,22,01_24_2022
Herzogenrath,60,01_24_2022
Herzogenrath,25,01_24_2022
Herzogenrath,32,01_24_2022
Herzogenrath,45,01_24_2022
Herzogenrath,0,01_17_2022
Herzogenrath,0,01_17_2022
Herzogenrath,0,01_17_2022
Herzogenrath,145,01_18_2022
Herzogenrath,63,01_19_2022
Herzogenrath,34,01_20_2022
Herzogenrath,28,01_21_2022
Herzogenrath,0,01_24_2022
Herzogenrath,0,01_24_2022
Herzogenrath,0,01_24_2022
Herzogenrath,225,01_25_2022
Herzogenrath,146,01_26_2022
Monschau,0,01_04_2022
Monschau,6,01_04_2022
Monschau,5,01_05_2022
Monschau,6,01_06_2022
Monschau,5,01_08_2022
Monschau,7,01_08_2022
Monschau,0,01_10_2022
Monschau,7,01_10_2022
Monschau,16,01_11_2022
Monschau,3,01_12_2022
Monschau,8,01_13_2022
Monschau,11,01_14_2022
Monschau,0,01_17_2022
Monschau,0,01_17_2022
Monschau,0,01_17_2022
Monschau,29,01_18_2022
Monschau,11,01_19_2022
Monschau,5,01_20_2022
Monschau,-1,01_21_2022
Monschau,0,01_24_2022
Monschau,0,01_24_2022
Monschau,0,01_24_2022
Monschau,44,01_25_2022
Monschau,40,01_26_2022
Roetgen,0,01_04_2022
Roetgen,4,01_04_2022
Roetgen,0,01_05_2022
Roetgen,7,01_06_2022
Roetgen,2,01_08_2022
Roetgen,1,01_08_2022
Roetgen,0,01_10_2022
Roetgen,1,01_10_2022
Roetgen,9,01_11_2022
Roetgen,4,01_12_2022
Roetgen,9,01_13_2022
Roetgen,8,01_14_2022
Roetgen,0,01_17_2022
Roetgen,0,01_17_2022
Roetgen,0,01_17_2022
Roetgen,27,01_18_2022
Roetgen,3,01_19_2022
Roetgen,1,01_20_2022
Roetgen,3,01_21_2022
Roetgen,0,01_24_2022
Roetgen,0,01_24_2022
Roetgen,0,01_24_2022
Roetgen,43,01_25_2022
Roetgen,26,01_26_2022
Simmerath,0,01_04_2022
Simmerath,13,01_04_2022
Simmerath,6,01_05_2022
Simmerath,11,01_06_2022
Simmerath,13,01_08_2022
Simmerath,8,01_08_2022
Simmerath,0,01_10_2022
Simmerath,8,01_10_2022
Simmerath,20,01_11_2022
Simmerath,15,01_12_2022
Simmerath,10,01_13_2022
Simmerath,6,01_14_2022
Simmerath,0,01_17_2022
Simmerath,0,01_17_2022
Simmerath,0,01_17_2022
Simmerath,40,01_18_2022
Simmerath,11,01_19_2022
Simmerath,6,01_20_2022
Simmerath,8,01_21_2022
Simmerath,0,01_24_2022
Simmerath,0,01_24_2022
Simmerath,0,01_24_2022
Simmerath,61,01_25_2022
Simmerath,50,01_26_2022
Städteregion,0,01_05_2022
Städteregion,601,01_24_2022
Städteregion,281,01_24_2022
Städteregion,507,01_24_2022
Städteregion,569,01_24_2022
Städteregion,302,01_24_2022
Städteregion,0,01_24_2022
Städteregion,302,01_24_2022
Städteregion,1214,01_24_2022
Städteregion,369,01_24_2022
Städteregion,645,01_24_2022
Städteregion,726,01_24_2022
Städteregion,0,01_24_2022
Städteregion,0,01_24_2022
Städteregion,0,01_24_2022
Städteregion,2181,01_24_2022
Städteregion,798,01_24_2022
Städteregion,516,01_24_2022
Städteregion,425,01_24_2022
Städteregion,0,01_24_2022
Städteregion,0,01_24_2022
Städteregion,0,01_24_2022
Städteregion,2979,01_25_2022
Städteregion,2170,01_26_2022
Stolberg,0,01_04_2022
Stolberg,54,01_24_2022
Stolberg,15,01_24_2022
Stolberg,38,01_24_2022
Stolberg,38,01_24_2022
Stolberg,12,01_24_2022
Stolberg,0,01_24_2022
Stolberg,12,01_24_2022
Stolberg,93,01_24_2022
Stolberg,41,01_24_2022
Stolberg,62,01_24_2022
Stolberg,60,01_24_2022
Stolberg,0,01_17_2022
Stolberg,0,01_17_2022
Stolberg,0,01_17_2022
Stolberg,194,01_18_2022
Stolberg,58,01_19_2022
Stolberg,43,01_20_2022
Stolberg,28,01_21_2022
Stolberg,0,01_24_2022
Stolberg,0,01_24_2022
Stolberg,0,01_24_2022
Stolberg,213,01_25_2022
Stolberg,148,01_26_2022
Würselen,0,01_04_2022
Würselen,40,01_04_2022
Würselen,15,01_05_2022
Würselen,39,01_06_2022
Würselen,42,01_08_2022
Würselen,14,01_08_2022
Würselen,0,01_10_2022
Würselen,14,01_10_2022
