,neu,Datum
Aachen,1,06_25_2021
Aachen,1,06_25_2021
Aachen,5,06_25_2021
Aachen,6,06_25_2021
Aachen,0,06_25_2021
Aachen,4,06_25_2021
Aachen,0,06_25_2021
Aachen,0,06_25_2021
Aachen,3,06_25_2021
Aachen,5,06_25_2021
Aachen,8,06_25_2021
Aachen,5,06_25_2021
Aachen,4,06_25_2021
Aachen,0,06_25_2021
Aachen,0,06_30_2021
Aachen,4,06_30_2021
Aachen,-1,06_30_2021
Aachen,2,06_30_2021
Aachen,2,06_30_2021
Aachen,3,06_30_2021
Aachen,2,06_30_2021
Aachen,0,06_30_2021
Aachen,1,06_30_2021
Aachen,5,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,2,06_30_2021
Alsdorf,3,06_30_2021
Alsdorf,3,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,1,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,1,06_30_2021
Alsdorf,1,06_30_2021
Alsdorf,1,06_30_2021
Alsdorf,1,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,2,06_30_2021
Alsdorf,1,06_30_2021
Alsdorf,1,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,1,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,0,06_30_2021
Alsdorf,0,06_30_2021
Baesweiler,0,06_07_2021
Baesweiler,0,06_08_2021
Baesweiler,0,06_09_2021
Baesweiler,0,06_10_2021
Baesweiler,1,06_11_2021
Baesweiler,0,06_12_2021
Baesweiler,0,06_14_2021
Baesweiler,0,06_14_2021
Baesweiler,0,06_15_2021
Baesweiler,0,06_16_2021
Baesweiler,1,06_18_2021
Baesweiler,0,06_18_2021
Baesweiler,0,06_21_2021
Baesweiler,0,06_21_2021
Baesweiler,0,06_21_2021
Baesweiler,0,06_23_2021
Baesweiler,0,06_25_2021
Baesweiler,0,06_25_2021
Baesweiler,0,06_25_2021
Baesweiler,0,06_28_2021
Baesweiler,0,06_28_2021
Baesweiler,0,06_28_2021
Baesweiler,0,06_29_2021
Baesweiler,0,06_30_2021
Eschweiler,1,06_12_2021
Eschweiler,6,06_12_2021
Eschweiler,12,06_12_2021
Eschweiler,2,06_12_2021
Eschweiler,1,06_12_2021
Eschweiler,0,06_12_2021
Eschweiler,10,06_14_2021
Eschweiler,0,06_14_2021
Eschweiler,1,06_15_2021
Eschweiler,5,06_16_2021
Eschweiler,3,06_18_2021
Eschweiler,0,06_18_2021
Eschweiler,0,06_21_2021
Eschweiler,6,06_21_2021
Eschweiler,0,06_21_2021
Eschweiler,0,06_23_2021
Eschweiler,0,06_25_2021
Eschweiler,0,06_25_2021
Eschweiler,1,06_25_2021
Eschweiler,1,06_28_2021
Eschweiler,0,06_28_2021
Eschweiler,0,06_28_2021
Eschweiler,0,06_29_2021
Eschweiler,0,06_30_2021
Herzogenrath,1,06_07_2021
Herzogenrath,0,06_15_2021
Herzogenrath,3,06_15_2021
Herzogenrath,0,06_15_2021
Herzogenrath,3,06_15_2021
Herzogenrath,0,06_15_2021
Herzogenrath,2,06_15_2021
Herzogenrath,0,06_21_2021
Herzogenrath,2,06_21_2021
Herzogenrath,1,06_21_2021
Herzogenrath,-1,06_21_2021
Herzogenrath,1,06_21_2021
Herzogenrath,0,06_21_2021
Herzogenrath,0,06_21_2021
Herzogenrath,0,06_21_2021
Herzogenrath,0,06_23_2021
Herzogenrath,0,06_25_2021
Herzogenrath,0,06_25_2021
Herzogenrath,1,06_25_2021
Herzogenrath,0,06_28_2021
Herzogenrath,0,06_28_2021
Herzogenrath,0,06_28_2021
Herzogenrath,0,06_29_2021
Herzogenrath,0,06_30_2021
Monschau,0,06_07_2021
Monschau,0,06_08_2021
Monschau,4,06_09_2021
Monschau,0,06_10_2021
Monschau,0,06_11_2021
Monschau,0,06_12_2021
Monschau,0,06_14_2021
Monschau,0,06_14_2021
Monschau,0,06_15_2021
Monschau,-1,06_16_2021
Monschau,0,06_18_2021
Monschau,0,06_18_2021
Monschau,0,06_21_2021
Monschau,0,06_21_2021
Monschau,0,06_21_2021
Monschau,0,06_23_2021
Monschau,0,06_25_2021
Monschau,0,06_25_2021
Monschau,0,06_25_2021
Monschau,0,06_28_2021
Monschau,0,06_28_2021
Monschau,0,06_28_2021
Monschau,0,06_29_2021
Monschau,0,06_30_2021
Roetgen,0,06_07_2021
Roetgen,0,06_08_2021
Roetgen,0,06_09_2021
Roetgen,0,06_10_2021
Roetgen,0,06_11_2021
Roetgen,0,06_12_2021
Roetgen,0,06_14_2021
Roetgen,0,06_14_2021
Roetgen,0,06_15_2021
Roetgen,0,06_16_2021
Roetgen,0,06_18_2021
Roetgen,0,06_18_2021
Roetgen,0,06_21_2021
Roetgen,2,06_21_2021
Roetgen,0,06_21_2021
Roetgen,0,06_23_2021
Roetgen,0,06_25_2021
Roetgen,0,06_25_2021
Roetgen,1,06_25_2021
Roetgen,0,06_28_2021
Roetgen,1,06_28_2021
Roetgen,0,06_28_2021
Roetgen,0,06_29_2021
Roetgen,0,06_30_2021
Simmerath,0,06_07_2021
Simmerath,0,06_08_2021
Simmerath,0,06_09_2021
Simmerath,0,06_10_2021
Simmerath,0,06_11_2021
Simmerath,1,06_12_2021
Simmerath,0,06_14_2021
Simmerath,0,06_14_2021
Simmerath,1,06_15_2021
Simmerath,0,06_16_2021
Simmerath,2,06_18_2021
Simmerath,0,06_18_2021
Simmerath,0,06_21_2021
