,neu,Datum
Aachen,140,12_03_2021
Aachen,77,12_03_2021
Aachen,113,12_10_2021
Aachen,0,12_10_2021
Aachen,0,12_10_2021
Aachen,234,12_10_2021
Aachen,151,12_10_2021
Aachen,161,12_10_2021
Aachen,129,12_10_2021
Aachen,118,12_10_2021
Aachen,0,12_10_2021
Aachen,0,12_10_2021
Aachen,207,12_10_2021
Aachen,122,12_10_2021
Aachen,125,12_10_2021
Aachen,155,12_10_2021
Aachen,0,12_10_2021
Aachen,0,12_10_2021
Aachen,0,12_10_2021
Aachen,354,12_10_2021
Aachen,70,12_10_2021
Aachen,152,12_10_2021
Aachen,77,12_10_2021
Alsdorf,37,11_18_2021
Alsdorf,15,11_19_2021
Alsdorf,24,11_20_2021
Alsdorf,0,11_22_2021
Alsdorf,0,11_22_2021
Alsdorf,41,11_23_2021
Alsdorf,28,11_24_2021
Alsdorf,29,11_25_2021
Alsdorf,33,11_26_2021
Alsdorf,25,11_27_2021
Alsdorf,0,11_29_2021
Alsdorf,0,11_29_2021
Alsdorf,47,11_30_2021
Alsdorf,20,12_01_2021
Alsdorf,20,12_02_2021
Alsdorf,27,12_03_2021
Alsdorf,0,12_07_2021
Alsdorf,0,12_07_2021
Alsdorf,0,12_07_2021
Alsdorf,53,12_07_2021
Alsdorf,17,12_08_2021
Alsdorf,17,12_10_2021
Alsdorf,17,12_10_2021
Baesweiler,31,11_18_2021
Baesweiler,1,11_19_2021
Baesweiler,17,11_20_2021
Baesweiler,0,11_22_2021
Baesweiler,0,11_22_2021
Baesweiler,32,11_23_2021
Baesweiler,22,11_24_2021
Baesweiler,38,11_25_2021
Baesweiler,25,11_26_2021
Baesweiler,12,11_27_2021
Baesweiler,0,11_29_2021
Baesweiler,0,11_29_2021
Baesweiler,27,11_30_2021
Baesweiler,14,12_01_2021
Baesweiler,28,12_02_2021
Baesweiler,22,12_03_2021
Baesweiler,0,12_07_2021
Baesweiler,0,12_07_2021
Baesweiler,0,12_07_2021
Baesweiler,56,12_07_2021
Baesweiler,7,12_08_2021
Baesweiler,30,12_10_2021
Baesweiler,15,12_10_2021
Eschweiler,33,11_24_2021
Eschweiler,13,11_24_2021
Eschweiler,26,11_20_2021
Eschweiler,0,11_22_2021
Eschweiler,0,11_22_2021
Eschweiler,117,11_23_2021
Eschweiler,15,11_24_2021
Eschweiler,60,11_25_2021
Eschweiler,39,11_26_2021
Eschweiler,37,11_27_2021
Eschweiler,0,12_10_2021
Eschweiler,0,12_10_2021
Eschweiler,80,12_10_2021
Eschweiler,16,12_10_2021
Eschweiler,52,12_10_2021
Eschweiler,40,12_10_2021
Eschweiler,0,12_10_2021
Eschweiler,0,12_10_2021
Eschweiler,0,12_10_2021
Eschweiler,84,12_10_2021
Eschweiler,10,12_10_2021
Eschweiler,39,12_10_2021
Eschweiler,35,12_10_2021
Herzogenrath,23,11_18_2021
Herzogenrath,4,11_19_2021
Herzogenrath,13,11_20_2021
Herzogenrath,0,12_03_2021
Herzogenrath,0,12_03_2021
Herzogenrath,33,12_03_2021
Herzogenrath,26,12_03_2021
Herzogenrath,24,12_03_2021
Herzogenrath,33,12_03_2021
Herzogenrath,17,12_03_2021
Herzogenrath,0,12_03_2021
Herzogenrath,0,12_03_2021
Herzogenrath,35,12_03_2021
Herzogenrath,30,12_03_2021
Herzogenrath,26,12_02_2021
Herzogenrath,21,12_03_2021
Herzogenrath,0,12_10_2021
Herzogenrath,0,12_10_2021
Herzogenrath,0,12_10_2021
Herzogenrath,50,12_10_2021
Herzogenrath,11,12_10_2021
Herzogenrath,26,12_10_2021
Herzogenrath,13,12_10_2021
Monschau,6,11_18_2021
Monschau,3,11_19_2021
Monschau,6,11_20_2021
Monschau,0,11_22_2021
Monschau,0,11_22_2021
Monschau,11,12_08_2021
Monschau,2,12_08_2021
Monschau,10,12_08_2021
Monschau,6,12_08_2021
Monschau,3,12_08_2021
Monschau,0,12_08_2021
Monschau,0,12_08_2021
Monschau,20,12_08_2021
Monschau,2,12_08_2021
Monschau,18,12_08_2021
Monschau,13,12_08_2021
Monschau,0,12_08_2021
Monschau,0,12_08_2021
Monschau,0,12_08_2021
Monschau,23,12_08_2021
Monschau,4,12_08_2021
Monschau,10,12_10_2021
Monschau,1,12_10_2021
Roetgen,4,11_18_2021
Roetgen,5,11_19_2021
Roetgen,5,11_20_2021
Roetgen,0,11_22_2021
Roetgen,0,11_22_2021
