,neu,Datum
Aachen,47,09_03_2021
Aachen,44,09_04_2021
Aachen,0,09_06_2021
Aachen,0,09_06_2021
Aachen,69,09_07_2021
Aachen,27,09_08_2021
Aachen,40,09_09_2021
Aachen,48,09_17_2021
Aachen,41,09_17_2021
Aachen,0,09_17_2021
Aachen,0,09_17_2021
Aachen,37,09_17_2021
Aachen,34,09_17_2021
Aachen,32,09_17_2021
Aachen,24,09_17_2021
Aachen,0,09_20_2021
Aachen,0,09_20_2021
Aachen,46,09_21_2021
Aachen,15,09_22_2021
Alsdorf,3,09_03_2021
Alsdorf,3,09_04_2021
Alsdorf,0,09_06_2021
Alsdorf,0,09_06_2021
Alsdorf,14,09_07_2021
Alsdorf,6,09_08_2021
Alsdorf,10,09_09_2021
Alsdorf,6,09_10_2021
Alsdorf,5,09_13_2021
Alsdorf,0,09_13_2021
Alsdorf,0,09_13_2021
Alsdorf,11,09_14_2021
Alsdorf,13,09_15_2021
Alsdorf,8,09_16_2021
Alsdorf,6,09_17_2021
Alsdorf,0,09_20_2021
Alsdorf,0,09_20_2021
Alsdorf,12,09_21_2021
Alsdorf,7,09_22_2021
Baesweiler,11,09_03_2021
Baesweiler,5,09_04_2021
Baesweiler,0,09_06_2021
Baesweiler,0,09_06_2021
Baesweiler,10,09_07_2021
Baesweiler,4,09_08_2021
Baesweiler,4,09_09_2021
Baesweiler,6,09_10_2021
Baesweiler,1,09_13_2021
Baesweiler,0,09_13_2021
Baesweiler,0,09_13_2021
Baesweiler,7,09_14_2021
Baesweiler,2,09_15_2021
Baesweiler,0,09_16_2021
Baesweiler,3,09_17_2021
Baesweiler,0,09_20_2021
Baesweiler,0,09_20_2021
Baesweiler,6,09_21_2021
Baesweiler,3,09_22_2021
Eschweiler,10,09_03_2021
Eschweiler,10,09_04_2021
Eschweiler,0,09_06_2021
Eschweiler,0,09_06_2021
Eschweiler,18,09_07_2021
Eschweiler,8,09_08_2021
Eschweiler,6,09_09_2021
Eschweiler,8,09_10_2021
Eschweiler,12,09_13_2021
Eschweiler,0,09_13_2021
Eschweiler,0,09_13_2021
Eschweiler,6,09_14_2021
Eschweiler,12,09_15_2021
Eschweiler,3,09_16_2021
Eschweiler,6,09_17_2021
Eschweiler,0,09_20_2021
Eschweiler,0,09_20_2021
Eschweiler,8,09_21_2021
Eschweiler,6,09_22_2021
Herzogenrath,5,09_03_2021
Herzogenrath,3,09_04_2021
Herzogenrath,0,09_06_2021
Herzogenrath,0,09_06_2021
Herzogenrath,5,09_07_2021
Herzogenrath,1,09_08_2021
Herzogenrath,1,09_09_2021
Herzogenrath,3,09_10_2021
Herzogenrath,1,09_13_2021
Herzogenrath,0,09_13_2021
Herzogenrath,0,09_13_2021
Herzogenrath,8,09_14_2021
Herzogenrath,4,09_15_2021
Herzogenrath,4,09_16_2021
Herzogenrath,2,09_17_2021
Herzogenrath,0,09_20_2021
Herzogenrath,0,09_20_2021
Herzogenrath,5,09_21_2021
Herzogenrath,1,09_22_2021
Monschau,1,09_03_2021
Monschau,1,09_04_2021
Monschau,0,09_06_2021
Monschau,0,09_06_2021
Monschau,0,09_07_2021
Monschau,1,09_08_2021
Monschau,1,09_09_2021
Monschau,1,09_10_2021
Monschau,3,09_13_2021
Monschau,0,09_13_2021
Monschau,0,09_13_2021
Monschau,5,09_14_2021
Monschau,1,09_15_2021
Monschau,0,09_16_2021
Monschau,0,09_17_2021
Monschau,0,09_20_2021
Monschau,0,09_20_2021
Monschau,3,09_21_2021
Monschau,0,09_22_2021
Roetgen,0,09_03_2021
Roetgen,0,09_04_2021
Roetgen,0,09_06_2021
Roetgen,0,09_06_2021
Roetgen,0,09_07_2021
Roetgen,0,09_08_2021
Roetgen,2,09_09_2021
Roetgen,0,09_10_2021
Roetgen,1,09_13_2021
Roetgen,0,09_13_2021
Roetgen,0,09_13_2021
Roetgen,0,09_14_2021
Roetgen,0,09_15_2021
Roetgen,0,09_16_2021
Roetgen,1,09_17_2021
Roetgen,0,09_20_2021
Roetgen,0,09_20_2021
Roetgen,0,09_21_2021
Roetgen,1,09_22_2021
Simmerath,0,09_03_2021
Simmerath,0,09_04_2021
Simmerath,0,09_06_2021
Simmerath,0,09_06_2021
Simmerath,0,09_07_2021
Simmerath,3,09_08_2021
Simmerath,3,09_09_2021
Simmerath,1,09_10_2021
Simmerath,0,09_13_2021
Simmerath,0,09_13_2021
Simmerath,0,09_13_2021
Simmerath,1,09_14_2021
Simmerath,0,09_15_2021
Simmerath,7,09_16_2021
Simmerath,1,09_17_2021
Simmerath,0,09_20_2021
Simmerath,0,09_20_2021
Simmerath,2,09_21_2021
Simmerath,2,09_22_2021
Städteregion,101,09_03_2021
Städteregion,81,09_04_2021
Städteregion,0,09_06_2021
Städteregion,0,09_06_2021
Städteregion,137,09_07_2021
Städteregion,61,09_08_2021
Städteregion,90,09_09_2021
Städteregion,88,09_17_2021
Städteregion,76,09_17_2021
Städteregion,0,09_17_2021
Städteregion,0,09_17_2021
Städteregion,93,09_17_2021
Städteregion,88,09_17_2021
Städteregion,66,09_17_2021
Städteregion,56,09_17_2021
Städteregion,0,09_20_2021
Städteregion,0,09_20_2021
Städteregion,97,09_21_2021
Städteregion,48,09_22_2021
Stolberg,20,09_03_2021
Stolberg,9,09_04_2021
Stolberg,0,09_06_2021
Stolberg,0,09_06_2021
Stolberg,11,09_07_2021
Stolberg,1,09_08_2021
Stolberg,16,09_09_2021
Stolberg,12,09_10_2021
Stolberg,7,09_13_2021
Stolberg,0,09_13_2021
Stolberg,0,09_13_2021
Stolberg,12,09_14_2021
Stolberg,18,09_15_2021
Stolberg,4,09_16_2021
Stolberg,11,09_17_2021
Stolberg,0,09_20_2021
Stolberg,0,09_20_2021
Stolberg,10,09_21_2021
Stolberg,6,09_22_2021
Würselen,2,09_03_2021
Würselen,8,09_04_2021
Würselen,0,09_06_2021
Würselen,0,09_06_2021
Würselen,10,09_07_2021
Würselen,10,09_08_2021
Würselen,7,09_09_2021
Würselen,3,09_10_2021
Würselen,4,09_13_2021
Würselen,0,09_13_2021
Würselen,0,09_13_2021
Würselen,7,09_14_2021
Würselen,4,09_15_2021
Würselen,6,09_16_2021
Würselen,2,09_17_2021
Würselen,0,09_20_2021
Würselen,0,09_20_2021
Würselen,5,09_21_2021
Würselen,8,09_22_2021
