,neu,Datum
Aachen,0,01_27_2022
Aachen,0,01_27_2022
Aachen,1553,01_27_2022
Aachen,1051,01_27_2022
Aachen,1124,01_27_2022
Aachen,1165,01_28_2022
Aachen,1392,01_31_2022
Aachen,0,01_31_2022
Aachen,0,01_31_2022
Aachen,1770,02_01_2022
Aachen,762,02_02_2022
Aachen,575,02_04_2022
Aachen,972,02_04_2022
Aachen,710,02_05_2022
Aachen,0,02_07_2022
Aachen,0,02_07_2022
Aachen,983,02_08_2022
Aachen,589,02_10_2022
Aachen,584,02_10_2022
Aachen,467,02_11_2022
Aachen,0,02_14_2022
Aachen,0,02_14_2022
Aachen,0,02_14_2022
Aachen,1381,02_15_2022
Alsdorf,0,01_27_2022
Alsdorf,0,01_27_2022
Alsdorf,257,01_27_2022
Alsdorf,211,01_27_2022
Alsdorf,243,01_27_2022
Alsdorf,253,01_28_2022
Alsdorf,283,01_31_2022
Alsdorf,0,01_31_2022
Alsdorf,0,01_31_2022
Alsdorf,513,02_01_2022
Alsdorf,149,02_02_2022
Alsdorf,188,02_04_2022
Alsdorf,242,02_04_2022
Alsdorf,226,02_05_2022
Alsdorf,0,02_07_2022
Alsdorf,0,02_07_2022
Alsdorf,341,02_08_2022
Alsdorf,124,02_10_2022
Alsdorf,175,02_10_2022
Alsdorf,159,02_11_2022
Alsdorf,0,02_14_2022
Alsdorf,0,02_14_2022
Alsdorf,0,02_14_2022
Alsdorf,416,02_15_2022
Baesweiler,0,01_27_2022
Baesweiler,0,01_27_2022
Baesweiler,143,01_27_2022
Baesweiler,99,01_27_2022
Baesweiler,95,01_27_2022
Baesweiler,141,01_28_2022
Baesweiler,165,01_31_2022
Baesweiler,0,01_31_2022
Baesweiler,0,01_31_2022
Baesweiler,282,02_01_2022
Baesweiler,103,02_02_2022
Baesweiler,94,02_04_2022
Baesweiler,146,02_04_2022
Baesweiler,116,02_05_2022
Baesweiler,0,02_07_2022
Baesweiler,0,02_07_2022
Baesweiler,163,02_08_2022
Baesweiler,70,02_10_2022
Baesweiler,83,02_10_2022
Baesweiler,55,02_11_2022
Baesweiler,0,02_14_2022
Baesweiler,0,02_14_2022
Baesweiler,0,02_14_2022
Baesweiler,154,02_15_2022
Eschweiler,0,01_27_2022
Eschweiler,0,01_27_2022
Eschweiler,232,01_27_2022
Eschweiler,218,01_27_2022
Eschweiler,213,01_27_2022
Eschweiler,258,01_28_2022
Eschweiler,349,01_31_2022
Eschweiler,0,01_31_2022
Eschweiler,0,01_31_2022
Eschweiler,486,02_01_2022
Eschweiler,220,02_02_2022
Eschweiler,180,02_04_2022
Eschweiler,305,02_04_2022
Eschweiler,237,02_05_2022
Eschweiler,0,02_07_2022
Eschweiler,0,02_07_2022
Eschweiler,389,02_08_2022
Eschweiler,209,02_10_2022
Eschweiler,192,02_10_2022
Eschweiler,159,02_11_2022
Eschweiler,0,02_14_2022
Eschweiler,0,02_14_2022
Eschweiler,0,02_14_2022
Eschweiler,414,02_15_2022
Herzogenrath,0,01_27_2022
Herzogenrath,0,01_27_2022
Herzogenrath,225,01_27_2022
Herzogenrath,146,01_27_2022
Herzogenrath,172,01_27_2022
Herzogenrath,205,01_28_2022
Herzogenrath,239,01_31_2022
Herzogenrath,0,01_31_2022
Herzogenrath,0,01_31_2022
Herzogenrath,317,02_01_2022
Herzogenrath,159,02_02_2022
Herzogenrath,104,02_04_2022
Herzogenrath,217,02_04_2022
Herzogenrath,144,02_05_2022
Herzogenrath,0,02_07_2022
Herzogenrath,0,02_07_2022
Herzogenrath,190,02_08_2022
Herzogenrath,130,02_10_2022
Herzogenrath,124,02_10_2022
Herzogenrath,106,02_11_2022
Herzogenrath,0,02_14_2022
Herzogenrath,0,02_14_2022
Herzogenrath,0,02_14_2022
Herzogenrath,294,02_15_2022
Monschau,0,01_27_2022
Monschau,0,01_27_2022
Monschau,44,01_27_2022
Monschau,40,01_27_2022
Monschau,42,01_27_2022
Monschau,41,01_28_2022
Monschau,52,01_31_2022
Monschau,0,01_31_2022
Monschau,0,01_31_2022
Monschau,62,02_01_2022
Monschau,15,02_02_2022
Monschau,24,02_04_2022
Monschau,44,02_04_2022
Monschau,43,02_05_2022
Monschau,0,02_07_2022
Monschau,0,02_07_2022
Monschau,30,02_08_2022
Monschau,34,02_10_2022
Monschau,20,02_10_2022
Monschau,20,02_11_2022
Monschau,0,02_14_2022
Monschau,0,02_14_2022
Monschau,0,02_14_2022
Monschau,73,02_15_2022
Roetgen,0,01_27_2022
Roetgen,0,01_27_2022
Roetgen,43,01_27_2022
Roetgen,26,01_27_2022
Roetgen,31,01_27_2022
Roetgen,8,01_28_2022
Roetgen,30,01_31_2022
Roetgen,0,01_31_2022
Roetgen,0,01_31_2022
Roetgen,48,02_01_2022
Roetgen,22,02_02_2022
Roetgen,26,02_04_2022
Roetgen,37,02_04_2022
Roetgen,21,02_05_2022
Roetgen,0,02_07_2022
Roetgen,0,02_07_2022
Roetgen,39,02_08_2022
Roetgen,19,02_10_2022
Roetgen,29,02_10_2022
Roetgen,19,02_11_2022
Roetgen,0,02_14_2022
Roetgen,0,02_14_2022
Roetgen,0,02_14_2022
Roetgen,70,02_15_2022
Simmerath,0,01_27_2022
Simmerath,0,01_27_2022
Simmerath,61,01_27_2022
Simmerath,50,01_27_2022
Simmerath,53,01_27_2022
Simmerath,71,01_28_2022
Simmerath,58,01_31_2022
Simmerath,0,01_31_2022
Simmerath,0,01_31_2022
Simmerath,77,02_01_2022
Simmerath,18,02_02_2022
Simmerath,38,02_04_2022
Simmerath,62,02_04_2022
Simmerath,57,02_05_2022
Simmerath,0,02_07_2022
Simmerath,0,02_07_2022
Simmerath,60,02_08_2022
Simmerath,33,02_10_2022
Simmerath,64,02_10_2022
Simmerath,27,02_11_2022
Simmerath,0,02_14_2022
Simmerath,0,02_14_2022
Simmerath,0,02_14_2022
Simmerath,106,02_15_2022
Städteregion,0,01_27_2022
Städteregion,0,01_27_2022
Städteregion,2979,01_27_2022
Städteregion,2170,01_27_2022
Städteregion,2343,01_27_2022
Städteregion,2559,01_28_2022
Städteregion,3151,01_31_2022
Städteregion,0,01_31_2022
Städteregion,0,01_31_2022
Städteregion,4213,02_01_2022
Städteregion,1772,02_02_2022
Städteregion,1492,02_04_2022
Städteregion,2422,02_04_2022
Städteregion,1896,02_05_2022
Städteregion,0,02_07_2022
Städteregion,0,02_07_2022
Städteregion,2676,02_08_2022
Städteregion,1480,02_10_2022
Städteregion,1546,02_10_2022
Städteregion,1245,02_11_2022
Städteregion,0,02_14_2022
Städteregion,0,02_14_2022
Städteregion,0,02_14_2022
Städteregion,3581,02_15_2022
Stolberg,0,01_27_2022
Stolberg,0,01_27_2022
Stolberg,213,01_27_2022
Stolberg,148,01_27_2022
Stolberg,191,01_27_2022
Stolberg,213,01_28_2022
Stolberg,282,01_31_2022
Stolberg,0,01_31_2022
Stolberg,0,01_31_2022
Stolberg,342,02_01_2022
Stolberg,187,02_02_2022
Stolberg,131,02_04_2022
Stolberg,211,02_04_2022
Stolberg,183,02_05_2022
Stolberg,0,02_07_2022
Stolberg,0,02_07_2022
Stolberg,283,02_08_2022
Stolberg,167,02_10_2022
Stolberg,189,02_10_2022
Stolberg,157,02_11_2022
Stolberg,0,02_14_2022
Stolberg,0,02_14_2022
Stolberg,0,02_14_2022
Stolberg,380,02_15_2022
Würselen,0,01_27_2022
Würselen,0,01_27_2022
Würselen,208,01_27_2022
Würselen,181,01_27_2022
Würselen,179,01_27_2022
Würselen,204,01_28_2022
Würselen,301,01_31_2022
Würselen,0,01_31_2022
Würselen,0,01_31_2022
Würselen,316,02_01_2022
Würselen,137,02_02_2022
Würselen,132,02_04_2022
Würselen,186,02_04_2022
Würselen,159,02_05_2022
Würselen,0,02_07_2022
Würselen,0,02_07_2022
Würselen,198,02_08_2022
Würselen,105,02_10_2022
Würselen,86,02_10_2022
Würselen,76,02_11_2022
Würselen,0,02_14_2022
Würselen,0,02_14_2022
Würselen,0,02_14_2022
Würselen,293,02_15_2022
