,neu,Datum
Aachen,4,07_12_2021
Aachen,0,07_12_2021
Aachen,2,07_12_2021
Aachen,3,07_12_2021
Aachen,1,07_12_2021
Aachen,3,07_12_2021
Aachen,3,07_12_2021
Aachen,0,07_12_2021
Aachen,0,07_12_2021
Aachen,9,07_18_2021
Aachen,8,07_18_2021
Aachen,14,07_18_2021
Aachen,9,07_18_2021
Aachen,9,07_18_2021
Aachen,0,07_18_2021
Aachen,0,07_18_2021
Aachen,18,07_23_2021
Aachen,13,07_23_2021
Aachen,26,07_23_2021
Aachen,22,07_23_2021
Aachen,9,07_26_2021
Aachen,0,07_26_2021
Aachen,0,07_26_2021
Aachen,19,07_27_2021
Alsdorf,0,07_05_2021
Alsdorf,0,07_05_2021
Alsdorf,0,07_07_2021
Alsdorf,0,07_08_2021
Alsdorf,0,07_08_2021
Alsdorf,0,07_12_2021
Alsdorf,0,07_12_2021
Alsdorf,0,07_12_2021
Alsdorf,0,07_12_2021
Alsdorf,2,07_18_2021
Alsdorf,1,07_18_2021
Alsdorf,1,07_18_2021
Alsdorf,1,07_18_2021
Alsdorf,1,07_18_2021
Alsdorf,0,07_18_2021
Alsdorf,0,07_18_2021
Alsdorf,7,07_23_2021
Alsdorf,1,07_23_2021
Alsdorf,0,07_23_2021
Alsdorf,0,07_23_2021
Alsdorf,0,07_26_2021
Alsdorf,0,07_26_2021
Alsdorf,0,07_26_2021
Alsdorf,5,07_27_2021
Baesweiler,0,07_05_2021
Baesweiler,0,07_05_2021
Baesweiler,0,07_07_2021
Baesweiler,0,07_07_2021
Baesweiler,0,07_08_2021
Baesweiler,1,07_12_2021
Baesweiler,0,07_12_2021
Baesweiler,0,07_12_2021
Baesweiler,0,07_12_2021
Baesweiler,0,07_18_2021
Baesweiler,0,07_18_2021
Baesweiler,1,07_18_2021
Baesweiler,0,07_18_2021
Baesweiler,0,07_18_2021
Baesweiler,0,07_18_2021
Baesweiler,0,07_18_2021
Baesweiler,4,07_23_2021
Baesweiler,1,07_23_2021
Baesweiler,4,07_23_2021
Baesweiler,1,07_23_2021
Baesweiler,1,07_26_2021
Baesweiler,0,07_26_2021
Baesweiler,0,07_26_2021
Baesweiler,0,07_27_2021
Eschweiler,0,07_05_2021
Eschweiler,0,07_05_2021
Eschweiler,1,07_07_2021
Eschweiler,1,07_07_2021
Eschweiler,0,07_08_2021
Eschweiler,1,07_12_2021
Eschweiler,1,07_12_2021
Eschweiler,0,07_12_2021
Eschweiler,0,07_12_2021
Eschweiler,0,07_18_2021
Eschweiler,0,07_18_2021
Eschweiler,1,07_18_2021
Eschweiler,-1,07_18_2021
Eschweiler,0,07_18_2021
Eschweiler,0,07_18_2021
Eschweiler,0,07_18_2021
Eschweiler,2,07_23_2021
Eschweiler,0,07_23_2021
Eschweiler,2,07_23_2021
Eschweiler,3,07_23_2021
Eschweiler,2,07_26_2021
Eschweiler,0,07_26_2021
Eschweiler,0,07_26_2021
Eschweiler,1,07_27_2021
Herzogenrath,5,07_05_2021
Herzogenrath,0,07_05_2021
Herzogenrath,0,07_07_2021
Herzogenrath,0,07_07_2021
Herzogenrath,1,07_08_2021
Herzogenrath,0,07_12_2021
Herzogenrath,0,07_12_2021
Herzogenrath,0,07_12_2021
Herzogenrath,0,07_12_2021
Herzogenrath,2,07_18_2021
Herzogenrath,0,07_18_2021
Herzogenrath,3,07_18_2021
Herzogenrath,2,07_18_2021
Herzogenrath,0,07_18_2021
Herzogenrath,0,07_18_2021
Herzogenrath,0,07_18_2021
Herzogenrath,5,07_23_2021
Herzogenrath,2,07_23_2021
Herzogenrath,0,07_23_2021
Herzogenrath,1,07_23_2021
Herzogenrath,2,07_26_2021
Herzogenrath,0,07_26_2021
Herzogenrath,0,07_26_2021
Herzogenrath,1,07_27_2021
Monschau,0,07_05_2021
Monschau,0,07_05_2021
Monschau,0,07_07_2021
Monschau,0,07_07_2021
Monschau,0,07_08_2021
Monschau,0,07_12_2021
Monschau,0,07_12_2021
Monschau,0,07_12_2021
Monschau,0,07_12_2021
Monschau,0,07_18_2021
Monschau,1,07_18_2021
Monschau,1,07_18_2021
Monschau,0,07_18_2021
Monschau,0,07_18_2021
Monschau,0,07_18_2021
Monschau,0,07_18_2021
Monschau,1,07_23_2021
Monschau,0,07_23_2021
Monschau,1,07_23_2021
Monschau,1,07_23_2021
Monschau,0,07_26_2021
Monschau,0,07_26_2021
Monschau,0,07_26_2021
Monschau,2,07_27_2021
Roetgen,0,07_05_2021
Roetgen,0,07_05_2021
Roetgen,0,07_07_2021
Roetgen,0,07_07_2021
Roetgen,0,07_08_2021
Roetgen,0,07_12_2021
Roetgen,0,07_12_2021
Roetgen,0,07_12_2021
Roetgen,0,07_12_2021
Roetgen,0,07_18_2021
Roetgen,0,07_18_2021
Roetgen,0,07_18_2021
Roetgen,0,07_18_2021
Roetgen,0,07_18_2021
Roetgen,0,07_18_2021
Roetgen,0,07_18_2021
Roetgen,0,07_23_2021
Roetgen,0,07_23_2021
Roetgen,0,07_23_2021
Roetgen,0,07_23_2021
Roetgen,0,07_26_2021
Roetgen,0,07_26_2021
Roetgen,0,07_26_2021
Roetgen,0,07_27_2021
Simmerath,0,07_05_2021
Simmerath,0,07_05_2021
Simmerath,0,07_07_2021
Simmerath,-1,07_07_2021
Simmerath,0,07_08_2021
Simmerath,0,07_12_2021
Simmerath,0,07_12_2021
Simmerath,0,07_12_2021
Simmerath,0,07_12_2021
Simmerath,0,07_18_2021
Simmerath,1,07_18_2021
Simmerath,0,07_18_2021
Simmerath,1,07_18_2021
Simmerath,0,07_18_2021
Simmerath,0,07_18_2021
Simmerath,0,07_18_2021
Simmerath,2,07_23_2021
Simmerath,0,07_23_2021
Simmerath,0,07_23_2021
Simmerath,0,07_23_2021
Simmerath,1,07_26_2021
Simmerath,0,07_26_2021
Simmerath,0,07_26_2021
Simmerath,1,07_27_2021
Städteregion,10,07_12_2021
Städteregion,0,07_12_2021
Städteregion,2,07_12_2021
Städteregion,3,07_12_2021
Städteregion,3,07_12_2021
Städteregion,5,07_12_2021
Städteregion,4,07_12_2021
Städteregion,0,07_12_2021
Städteregion,0,07_12_2021
Städteregion,16,07_18_2021
Städteregion,12,07_18_2021
Städteregion,25,07_18_2021
Städteregion,13,07_18_2021
Städteregion,10,07_18_2021
Städteregion,0,07_18_2021
Städteregion,0,07_18_2021
Städteregion,49,07_23_2021
Städteregion,19,07_23_2021
Städteregion,38,07_23_2021
Städteregion,31,07_23_2021
Städteregion,16,07_26_2021
Städteregion,0,07_26_2021
Städteregion,0,07_26_2021
Städteregion,32,07_27_2021
Stolberg,1,07_08_2021
Stolberg,0,07_08_2021
Stolberg,-1,07_08_2021
Stolberg,0,07_08_2021
Stolberg,1,07_08_2021
Stolberg,0,07_12_2021
Stolberg,0,07_12_2021
Stolberg,0,07_12_2021
Stolberg,0,07_12_2021
Stolberg,2,07_18_2021
Stolberg,1,07_18_2021
Stolberg,2,07_18_2021
Stolberg,1,07_18_2021
Stolberg,0,07_18_2021
Stolberg,0,07_18_2021
Stolberg,0,07_18_2021
Stolberg,5,07_23_2021
Stolberg,2,07_23_2021
Stolberg,2,07_23_2021
Stolberg,2,07_23_2021
Stolberg,1,07_26_2021
Stolberg,0,07_26_2021
Stolberg,0,07_26_2021
Stolberg,3,07_27_2021
Würselen,0,07_05_2021
Würselen,0,07_05_2021
Würselen,0,07_07_2021
Würselen,0,07_07_2021
Würselen,0,07_08_2021
Würselen,0,07_12_2021
Würselen,0,07_12_2021
Würselen,0,07_12_2021
Würselen,0,07_12_2021
Würselen,1,07_18_2021
Würselen,0,07_18_2021
Würselen,2,07_18_2021
Würselen,0,07_18_2021
Würselen,0,07_18_2021
Würselen,0,07_18_2021
Würselen,0,07_18_2021
Würselen,5,07_23_2021
Würselen,0,07_23_2021
Würselen,3,07_23_2021
Würselen,1,07_23_2021
Würselen,0,07_26_2021
Würselen,0,07_26_2021
Würselen,0,07_26_2021
Würselen,0,07_27_2021
