,06_14_2021
Coesfeld,1033
Ascheberg,452
Nottuln,438
Lüdinghausen,730
Nordkirchen,234
Havixbeck,255
Billerbeck,234
Senden,415
Olfen,429
Rosendahl,385
Dülmen,982
Kreis Coesfeld,5587
