,01_04_2022
Coesfeld,1664
Ascheberg,764
Nottuln,783
Lüdinghausen,1212
Nordkirchen,425
Havixbeck,446
Billerbeck,436
Senden,887
Olfen,645
Rosendahl,622
Dülmen,1705
Kreis Coesfeld,9589
