,last7,last14,mix,Gemeinde
Coesfeld,13,13,13.0,Coesfeld
Ascheberg,4,4,4.0,Ascheberg
Nottuln,1,6,1.0,Nottuln
Lüdinghausen,3,5,3.0,Lüdinghausen
Nordkirchen,0,0,0.2,Nordkirchen
Havixbeck,0,2,0.6,Havixbeck
Billerbeck,0,4,0.6,Billerbeck
Senden,2,4,2.0,Senden
Olfen,3,3,3.0,Olfen
Rosendahl,1,2,1.0,Rosendahl
Dülmen,4,5,4.0,Dülmen
Kreis Coesfeld,31,48,31.0,Kreis Coesfeld
