,07_28_2021
Coesfeld,1046
Ascheberg,456
Nottuln,447
Lüdinghausen,735
Nordkirchen,237
Havixbeck,257
Billerbeck,238
Senden,420
Olfen,434
Rosendahl,388
Dülmen,1027
Kreis Coesfeld,5685
